vertical,status,models,services,factories,seeders,tests,filament_resources,total_files,needed_factories,needed_seeders,needed_tests,needed_filament
Auto,COMPLETE,1,1,2,1,6,3,17,0,0,0,0
Beauty,COMPLETE,3,2,2,1,7,3,20,0,0,0,0
Books,COMPLETE,2,1,2,1,6,3,15,0,0,0,0
ConstructionMaterials,COMPLETE,2,1,2,1,7,3,16,0,0,0,0
Cosmetics,COMPLETE,2,1,2,1,6,3,15,0,0,0,0
Courses,COMPLETE,5,2,2,1,7,3,20,0,0,0,0
Entertainment,COMPLETE,2,1,2,1,6,3,15,0,0,0,0
Fashion,COMPLETE,3,2,2,1,7,3,18,0,0,0,0
FashionRetail,COMPLETE,2,1,2,1,6,3,15,0,0,0,0
Fitness,COMPLETE,2,1,2,1,6,3,15,0,0,0,0
Flowers,COMPLETE,2,1,2,1,6,3,15,0,0,0,0
Food,COMPLETE,5,3,2,1,8,3,22,0,0,0,0
Freelance,COMPLETE,4,2,2,1,7,3,19,0,0,0,0
Gifts,COMPLETE,1,1,1,1,1,3,8,0,0,0,0
HomeServices,COMPLETE,2,2,2,1,7,3,17,0,0,0,0
Hotels,COMPLETE,5,2,2,1,7,3,20,0,0,0,0
Jewelry,COMPLETE,2,1,2,1,6,3,15,0,0,0,0
Logistics,COMPLETE,13,3,2,1,7,3,29,0,0,0,0
Medical,COMPLETE,10,3,2,1,8,3,27,0,0,0,0
MedicalSupplies,COMPLETE,1,1,1,1,1,3,8,0,0,0,0
Pet,COMPLETE,10,2,2,1,7,3,25,0,0,0,0
Photography,COMPLETE,9,2,2,1,7,3,24,0,0,0,0
RealEstate,COMPLETE,8,2,2,1,7,3,23,0,0,0,0
SportingGoods,COMPLETE,1,1,1,1,1,3,8,0,0,0,0
Sports,COMPLETE,15,3,2,1,8,3,32,0,0,0,0
Tickets,COMPLETE,11,2,2,1,7,3,26,0,0,0,0
Travel,COMPLETE,13,4,2,1,8,3,31,0,0,0,0
AutoParts,INCOMPLETE,1,1,0,0,0,0,2,1,1,1,3
Confectionery,INCOMPLETE,1,1,0,0,0,0,2,1,1,1,3
Electronics,INCOMPLETE,1,1,0,0,0,0,2,1,1,1,3
FarmDirect,INCOMPLETE,1,1,0,0,0,0,2,1,1,1,3
FreshProduce,INCOMPLETE,1,1,0,0,0,0,2,1,1,1,3
Furniture,INCOMPLETE,1,1,0,0,0,0,2,1,1,1,3
HealthyFood,INCOMPLETE,1,1,0,0,0,0,2,1,1,1,3
MeatShops,INCOMPLETE,1,1,0,0,0,0,2,1,1,1,3
MedicalHealthcare,INCOMPLETE,3,0,0,0,0,0,3,1,1,1,3
OfficeCatering,INCOMPLETE,1,1,0,0,0,0,2,1,1,1,3
PetServices,INCOMPLETE,3,0,0,0,0,0,3,1,1,1,3
Pharmacy,INCOMPLETE,1,1,0,0,0,0,2,1,1,1,3
ToysKids,INCOMPLETE,1,1,0,0,0,0,2,1,1,1,3
TravelTourism,INCOMPLETE,3,0,0,0,0,0,3,1,1,1,3
Billiards,MISSING,0,0,0,0,0,0,0,1,1,1,3
EventVenues,MISSING,0,0,0,0,0,0,0,1,1,1,3
BathsSaunas,MISSING,0,0,0,0,0,0,0,1,1,1,3
ShortTermRentals,MISSING,0,0,0,0,0,0,0,1,1,1,3
PartyVenues,MISSING,0,0,0,0,0,0,0,1,1,1,3
KidsCenters,MISSING,0,0,0,0,0,0,0,1,1,1,3
DrivingSchools,MISSING,0,0,0,0,0,0,0,1,1,1,3
Karaoke,MISSING,0,0,0,0,0,0,0,1,1,1,3
Bars,MISSING,0,0,0,0,0,0,0,1,1,1,3
CoffeeShops,MISSING,0,0,0,0,0,0,0,1,1,1,3
DanceStudios,MISSING,0,0,0,0,0,0,0,1,1,1,3
QuestRooms,MISSING,0,0,0,0,0,0,0,1,1,1,3
BoardGames,MISSING,0,0,0,0,0,0,0,1,1,1,3
Grocery,MISSING,0,0,0,0,0,0,0,1,1,1,3
ReadyMeals,MISSING,0,0,0,0,0,0,0,1,1,1,3
